Job Title,Company Name,Location,Schedule,Salary,Date Posted,Apply Link,Apply More Links
Data Analyst,Hawaiian Poké Bowl,Antwerp,Full-Time,,2025-09-15,https://jobs.hawaiianpokebowl.be/en/data-analyst?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"[{'link': 'https://jobs.hawaiianpokebowl.be/en/data-analyst?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'source': 'hawaiian poké bowl'}, {'link': 'https://www.roberthalf.com/be/fr/emploi/antwerp-antwerp/data-analyst/06520-0013290292-benl?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'source': 'robert half'}, {'link': 'https://emplois.be.indeed.com/viewjob?jk=5b5bf6bf959b2dae&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'source': 'indeed'}, {'link': 'https://be.linkedin.com/jobs/view/data-analyst-at-dela-belgium-4282819736?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'source': 'linkedin'}, {'link': 'https://www.vdab.be/vindeenjob/vacatures/71388180/data-analyst?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'source': 'vdab'}, {'link': 'https://be.jooble.org/jdp/-998259005818236212?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'source': 'jooble'}, {'link': 'https://be.engineering.jobs/nl/vacature/data-analyst-7930097?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'source': 'engineering.jobs'}, {'link': 'https://be.bebee.com/job/1b24a51de7be906d638fa361233a79f4?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'source': 'bebee'}]"
Data Analyst,Square City,Antwerp,Full-Time,,2025-09-17,https://www.squarecity.be/jobs/senior-business-intelligence-data-analyst-6313/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"[{'link': 'https://www.squarecity.be/jobs/senior-business-intelligence-data-analyst-6313/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'source': 'square city'}, {'link': 'https://emplois.be.indeed.com/viewjob?jk=e4a16f780a8b7a33&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'source': 'indeed'}, {'link': 'https://www.vdab.be/vindeenjob/vacatures/71207604/senior-business-intelligence-data-analyst?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'source': 'vdab'}, {'link': 'https://www.tl-hub.be/fr/emploi/msc-belgium/business-intelligence-data-analyst-junior-senior?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'source': 'tl hub'}, {'link': 'https://be.jooble.org/jdp/3877030300598942218?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'source': 'jooble'}, {'link': 'https://fr.simplyhired.be/job/y3pfpjpis83kek4xlvd6zyjwpl999yo_w83jgsymb2ji8gnaviv17w?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'source': 'simplyhired'}, {'link': 'https://be.bebee.com/job/3adfb58cbda1ea7c1936bf08e0192e77?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'source': 'bebee'}, {'link': 'https://be.linkedin.com/jobs/view/senior-business-intelligence-data-analyst-at-msc-mediterranean-shipping-company-4301069380?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'source': 'linkedin'}]"
Data Consultant,Vivid Resourcing,Antwerp,Contractor,,2025-10-08,https://be.linkedin.com/jobs/view/freelance-data-consultant-power-bi-junior-medior-at-vivid-resourcing-4309623332?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"[{'link': 'https://be.linkedin.com/jobs/view/freelance-data-consultant-power-bi-junior-medior-at-vivid-resourcing-4309623332?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'source': 'linkedin'}, {'link': 'https://www.recruit.net/job/freelance-data-consultant-power-bi-jobs/ec94c3e319dcc2ee?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'source': 'recruit.net'}, {'link': 'https://www.jobilize.com/amp/job/be-antwerpen-freelance-data-consultant-power-bi-junior-medior-vivid?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'source': 'jobilize'}, {'link': 'https://be.findjob24h.com/ja/data-analytics-engineer-freelance-job107560?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'source': 'findjob24h.com'}]"
Data Analyst,Ictjob.Be,Antwerp,Part-Time And Contractor,,2025-10-10,https://www.vdab.be/vindeenjob/vacatures/71823290/data-analist-geen-ervaring-vereist?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"[{'link': 'https://www.vdab.be/vindeenjob/vacatures/71823290/data-analist-geen-ervaring-vereist?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'source': 'vdab'}, {'link': 'https://be.findjob24h.com/es/data-analist-engineer-job144820?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'source': 'findjob24h.com'}]"
Data Analyst,Asl Group,Antwerp,Full-Time,,2025-10-10,https://emplois.be.indeed.com/viewjob?jk=9b1bf5907dd6e634&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"[{'link': 'https://emplois.be.indeed.com/viewjob?jk=9b1bf5907dd6e634&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'source': 'indeed'}, {'link': 'https://fr.simplyhired.be/job/aimiw-teqvpput0ldfgswjfyocl_y3ycnzdr2s-vbt9_9nnudtwu2q?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'source': 'simplyhired'}]"
Data Analyst,Unique Technicum,Antwerp,Full-Time,,2025-10-10,https://www.vdab.be/vindeenjob/vacatures/71646694/strategy-data-analyst?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"[{'link': 'https://www.vdab.be/vindeenjob/vacatures/71646694/strategy-data-analyst?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'source': 'vdab'}]"
Data Analyst,Manuport Logistics,Antwerp,Full-Time,,2025-10-10,https://emplois.be.indeed.com/viewjob?jk=d526c550d889a72d&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"[{'link': 'https://emplois.be.indeed.com/viewjob?jk=d526c550d889a72d&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'source': 'indeed'}, {'link': 'https://fr.simplyhired.be/job/yki87nlvserpjkcwhup1jqhx269dvleaux42jpe6r4cxapifm5dvqw?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'source': 'simplyhired'}, {'link': 'https://be.bebee.com/job/33fb3b49958115eabfec441d268bab91?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'source': 'bebee'}, {'link': 'https://be.findjob24h.com/es/data-analyst-merchandising-job6179?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'source': 'findjob24h.com'}]"
Data Scientist,Orise,Ghent,Full-Time,,2025-09-28,https://be.linkedin.com/jobs/view/senior-data-scientist-m-f-d-at-orise-4303656208?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"[{'link': 'https://be.linkedin.com/jobs/view/senior-data-scientist-m-f-d-at-orise-4303656208?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'source': 'linkedin'}]"
Data Scientist,Lighthouse,Ghent,Full-Time,,2025-10-09,https://jobjob.eu/job/data-science-team-lead-2/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"[{'link': 'https://jobjob.eu/job/data-science-team-lead-2/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'source': 'jobs - jobjob'}, {'link': 'https://www.adzuna.be/details/5342028403?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'source': 'adzuna'}]"
Data Scientist,Vib,Ghent,Full-Time,,2025-09-17,https://jobs.vib.be/j/106877/data-science-and-ai-trainer?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"[{'link': 'https://jobs.vib.be/j/106877/data-science-and-ai-trainer?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'source': 'vib job'}, {'link': 'https://emplois.be.indeed.com/viewjob?jk=ffee486b5fb9231a&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'source': 'indeed'}, {'link': 'https://be.jooble.org/jdp/3952356667866685408?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'source': 'jooble'}, {'link': 'https://fr.simplyhired.be/job/jnwfpzhabhqgp21-vafiwlc0ntkcra531v-uepqiyoymlcqqmms1xg?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'source': 'simplyhired'}, {'link': 'https://be.linkedin.com/jobs/view/data-science-and-ai-trainer-at-vib-4178548468?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'source': 'linkedin'}, {'link': 'https://www.drjobpro.com/job/view/md0dhc760y5li9e?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic', 'source': 'dr. job pro'}]"
